

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	80	293	19	21	121.0	132
1	398	211	11	21	49.5	132
2	268	80	17	21	134.0	132

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	80	295	19	21	121.0	133
1	398	212	11	21	49.5	133
2	268	80	17	21	134.0	133

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	81	296	19	21	121.0	134
1	398	214	11	21	49.5	134
2	270	80	17	21	133.0	134

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	81	296	19	21	121.0	135
1	398	214	11	21	49.5	135
2	270	80	17	21	133.0	135

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	81	296	19	21	121.0	136
1	402	215	9	18	41.0	136
2	271	82	17	21	133.0	136

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	82	298	19	21	121.0	137
1	404	217	8	16	36.0	137
2	273	82	17	21	133.0	137

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	84	299	19	21	121.0	138
1	402	236	4	4	6.5	138
1	405	219	8	15	34.0	138
2	273	84	17	21	133.0	138

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	84	300	19	21	121.0	139
1	403	219	11	21	47.0	139
2	273	84	17	21	133.0	139

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	84	302	19	21	121.0	140
1	405	219	11	21	49.5	140
2	273	86	17	21	133.0	140

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	84	302	19	21	121.0	141
1	406	220	11	21	49.5	141
2	273	86	17	21	133.0	141

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	85	303	19	21	121.0	142
1	408	222	11	21	49.5	142
2	273	86	17	21	133.0	142

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	85	303	19	21	121.0	143
1	410	224	10	21	48.0	143
2	273	88	17	21	133.0	143

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	86	304	19	21	122.5	144
1	411	226	11	21	49.5	144
2	274	90	17	21	132.5	144

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	88	304	19	21	122.5	145
1	413	227	11	21	49.5	145
2	276	92	17	21	132.5	145

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	90	305	19	21	120.0	146
1	413	227	11	21	49.5	146
2	278	93	17	21	131.5	146

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	91	306	19	21	121.5	147
1	413	229	11	21	49.5	147
2	280	93	17	21	131.5	147

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	91	307	19	21	121.5	148
1	413	229	11	21	49.5	148
2	280	93	17	21	132.5	148

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	93	309	19	21	121.0	149
1	414	230	11	21	49.5	149
2	282	94	17	21	131.0	149

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	93	310	19	21	121.0	150
1	414	230	11	21	49.5	150
2	284	95	17	21	131.0	150

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	93	310	19	21	121.0	151
1	416	230	11	21	49.5	151
2	285	96	17	21	131.0	151

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	94	310	19	21	121.0	152
1	417	231	11	21	49.5	152
2	286	97	17	21	131.0	152

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	95	311	19	21	121.0	153
1	417	233	11	21	49.5	153
2	288	97	17	21	131.0	153

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	95	311	19	21	121.0	154
1	419	234	11	21	49.5	154
2	290	99	17	21	131.0	154

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	95	311	19	21	121.0	155
1	420	236	11	21	49.5	155
2	292	100	17	21	131.0	155

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	96	311	19	21	120.0	156
1	420	237	11	21	49.5	156
2	292	102	17	21	133.5	156

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	98	311	19	21	120.0	157
1	420	237	11	21	49.5	157
2	292	104	17	21	133.5	157

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	100	312	19	21	120.0	158
1	421	237	11	21	49.5	158
2	293	105	17	21	133.5	158

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	100	312	19	21	120.0	159
1	423	237	11	21	49.5	159
2	293	107	17	21	133.5	159

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	101	312	19	21	120.0	160
1	423	237	11	21	49.5	160
2	293	107	17	21	133.5	160

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	102	313	19	21	120.0	161
1	423	238	11	21	49.5	161
