

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	255	442	19	20	110.0	14
1	341	434	14	20	140.5	14
2	328	394	13	20	51.0	14
3	563	387	18	20	76.5	14
4	364	374	2	20	18.5	14
5	80	289	20	14	50.0	14
6	179	222	255	155	1209.0	14
6	164	222	13	20	43.5	14
7	201	220	10	20	117.5	14
8	219	203	11	13	34.0	14
9	219	196	5	3	3.5	14
9	239	112	18	20	217.5	14
10	429	83	16	20	51.5	14
11	73	37	16	20	73.0	14
12	606	23	16	20	185.0	14
13	390	20	12	20	94.0	14
14	553	17	19	20	124.5	14

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	256	444	19	20	110.0	15
1	342	434	14	20	140.5	15
2	328	396	13	20	51.0	15
3	564	389	18	20	77.0	15
4	364	376	2	20	18.5	15
5	80	289	20	14	50.0	15
6	165	223	13	20	43.5	15
7	179	222	255	155	1216.0	15
7	201	220	10	20	117.5	15
8	219	203	11	13	34.0	15
9	219	196	5	3	3.5	15
9	241	114	18	20	217.5	15
10	431	83	16	20	51.5	15
11	75	38	16	20	73.0	15
12	606	24	16	20	185.0	15
13	391	20	12	20	94.0	15
14	555	17	19	20	124.5	15

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	256	444	19	20	110.0	16
1	343	434	14	20	140.5	16
2	328	396	13	20	51.0	16
3	565	391	18	20	77.0	16
4	364	377	2	20	18.5	16
5	80	289	20	14	50.0	16
6	165	223	13	20	43.5	16
7	179	222	255	155	1209.0	16
7	201	220	10	20	117.5	16
8	219	203	11	13	34.0	16
9	219	196	5	3	3.5	16
9	286	191	3	3	2.5	16
9	289	187	3	3	2.5	16
9	243	115	18	20	217.5	16
10	431	83	18	20	62.0	16
11	77	38	16	20	73.0	16
12	606	25	16	20	185.0	16
13	393	20	12	20	94.0	16
14	555	17	19	20	124.5	16

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	258	444	19	20	110.0	17
1	345	435	14	20	140.5	17
2	328	398	13	20	51.0	17
3	567	391	21	20	83.5	17
4	365	379	2	20	18.5	17
5	80	289	20	14	50.0	17
6	165	224	13	20	43.5	17
7	179	222	255	155	1209.0	17
7	201	222	15	20	127.5	17
8	217	203	13	13	51.5	17
9	219	196	5	3	3.5	17
9	243	116	18	20	217.5	17
10	432	83	16	20	52.5	17
11	78	39	16	20	73.0	17
12	607	26	16	20	185.0	17
13	394	20	12	20	94.0	17
14	555	18	19	20	124.5	17

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	258	444	19	20	110.0	18
1	345	437	14	20	140.5	18
2	328	400	13	20	51.0	18
3	567	391	18	20	77.0	18
4	366	379	2	20	18.5	18
5	80	291	20	14	50.0	18
6	167	225	13	21	51.5	18
7	203	223	10	20	117.5	18
8	179	222	255	155	1209.0	18
8	218	203	13	13	36.0	18
9	243	117	18	20	217.5	18
10	167	97	4	6	6.0	18
10	433	84	16	20	52.5	18
11	429	81	3	3	2.5	18
11	78	41	16	20	73.0	18
12	607	26	16	20	185.0	18
13	394	20	12	20	94.0	18
14	555	18	19	20	124.5	18

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	259	444	19	20	110.0	19
1	347	437	14	20	140.5	19
2	329	400	13	20	51.0	19
3	567	392	18	20	77.0	19
4	366	381	2	20	18.5	19
5	82	293	20	14	48.0	19
6	169	227	13	20	42.5	19
7	203	223	10	20	117.5	19
8	179	222	255	155	1209.0	19
8	218	203	13	13	36.0	19
9	188	120	6	6	5.0	19
9	243	118	18	20	217.5	19
10	434	86	16	20	52.5	19
11	79	41	16	20	73.0	19
12	607	27	16	20	185.0	19
13	394	22	12	20	94.0	19
14	555	18	19	22	128.5	19

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	259	445	19	20	110.0	20
1	347	439	14	20	140.5	20
2	330	402	13	20	50.0	20
3	567	393	18	20	77.0	20
4	368	381	2	20	18.5	20
5	84	294	20	14	48.0	20
6	171	227	13	20	43.5	20
7	203	223	10	20	117.5	20
8	179	222	255	155	1209.0	20
8	219	201	13	15	39.0	20
9	243	120	18	20	217.5	20
10	434	88	16	20	52.5	20
11	80	41	16	20	73.0	20
12	609	27	16	20	185.0	20
13	396	24	12	20	94.0	20
14	557	20	19	20	124.5	20

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	259	445	19	20	110.0	21
1	347	439	14	20	140.5	21
2	329	402	14	20	58.0	21
3	567	394	18	20	77.0	21
4	368	382	2	20	18.5	21
5	84	294	20	14	48.0	21
6	172	227	13	20	44.5	21
7	203	223	10	20	117.5	21
8	179	222	255	155	1209.0	21
8	219	201	13	15	39.0	21
9	243	120	18	20	224.0	21
10	434	89	16	20	52.5	21
11	80	42	16	20	73.0	21
12	609	27	16	20	185.0	21
13	396	26	12	20	94.0	21
14	557	22	19	20	124.5	21

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	259	445	19	20	110.0	22
1	348	440	14	20	140.5	22
2	330	403	13	20	50.0	22
3	569	396	18	20	77.0	22
4	369	382	2	20	18.5	22
5	86	294	20	14	48.0	22
6	173	228	13	20	44.5	22
7	204	224	10	20	117.5	22
8	179	222	255	155	1209.0	22
8	219	201	13	15	39.0	22
9	244	122	18	20	217.5	22
10	436	91	16	20	52.5	22
11	82	42	16	20	73.0	22
12	609	29	16	20	185.0	22
13	397	26	12	20	94.0	22
14	559	22	19	20	125.5	22

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	261	446	19	20	111.0	23
1	349	441	14	20	140.5	23
2	331	403	13	20	50.0	23
3	569	396	18	20	79.5	23
4	369	382	2	20	18.5	23
5	86	295	20	14	48.0	23
6	175	228	13	20	42.5	23
7	206	224	10	20	117.5	23
8	179	222	255	155	1213.5	23
8	221	199	13	18	44.0	23
9	244	124	18	20	217.5	23
10	436	93	16	20	52.5	23
11	82	42	16	20	73.0	23
12	609	30	16	20	185.0	23
13	398	28	12	20	94.0	23
14	559	24	19	20	124.5	23

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	261	446	19	20	112.0	24
1	350	441	19	20	143.5	24
2	331	404	13	20	49.0	24
3	569	396	18	20	77.0	24
4	371	383	2	20	18.5	24
5	86	296	20	14	49.0	24
6	177	228	13	20	44.5	24
7	208	224	10	20	117.5	24
8	179	222	255	155	1209.0	24
8	222	199	13	20	51.0	24
9	244	125	18	20	217.5	24
10	437	95	17	20	52.0	24
11	83	42	16	20	74.0	24
12	611	30	16	20	184.0	24
13	398	30	12	20	94.0	24
14	559	24	19	20	124.5	24

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	261	446	19	20	110.0	25
1	351	441	14	20	139.5	25
2	331	404	13	20	49.0	25
3	569	397	18	20	77.0	25
4	371	383	2	20	18.5	25
5	87	297	20	14	49.0	25
6	177	229	13	20	44.5	25
7	208	226	10	20	117.5	25
8	179	222	255	155	1209.0	25
8	224	199	13	20	55.5	25
9	244	125	18	20	217.5	25
10	439	97	17	20	52.0	25
11	85	43	16	20	73.0	25
12	398	32	12	20	94.0	25
13	611	30	16	20	184.0	25
14	559	25	19	20	124.5	25
15	123	6	20	20	112.0	25

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	263	446	19	20	110.0	26
1	351	442	14	20	150.5	26
2	332	406	13	20	49.0	26
3	569	399	18	20	77.0	26
4	371	384	2	20	18.5	26
5	87	298	22	15	53.0	26
6	179	231	13	20	43.5	26
7	208	226	10	20	117.5	26
8	179	222	255	155	1209.0	26
8	226	199	13	20	58.0	26
9	246	127	18	20	217.5	26
10	439	98	17	20	52.0	26
11	85	44	16	20	73.0	26
12	398	34	12	20	94.0	26
13	612	30	16	20	184.0	26
14	559	27	19	20	124.5	26
15	124	6	20	20	112.0	26

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	263	448	19	20	110.0	27
1	352	442	14	20	140.5	27
2	334	406	13	20	49.0	27
3	569	400	18	20	77.0	27
4	372	384	2	20	18.5	27
5	7	380	14	20	88.0	27
6	89	300	20	14	49.0	27
7	180	231	13	20	43.5	27
8	208	227	10	20	117.5	27
9	179	222	255	155	1209.0	27
9	226	199	13	20	58.0	27
10	248	127	18	20	217.5	27
11	441	98	17	20	52.0	27
12	87	44	16	20	73.0	27
13	398	36	12	20	94.0	27
14	612	30	16	20	184.0	27
15	560	28	19	20	124.5	27
16	126	8	20	20	112.0	27

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	265	448	19	20	111.0	28
1	179	448	8	3	4.0	28
1	354	442	14	20	140.5	28
2	334	407	13	20	49.0	28
3	570	401	18	20	77.0	28
4	372	384	2	20	18.5	28
5	8	380	14	20	88.0	28
6	89	301	20	14	49.0	28
7	181	231	13	20	43.5	28
8	208	227	10	20	117.5	28
9	179	222	255	155	1209.0	28
9	226	201	13	20	58.0	28
10	248	127	18	20	217.5	28
11	441	99	17	20	52.0	28
12	88	44	16	20	73.0	28
13	399	37	12	20	94.0	28
14	613	32	16	20	184.0	28
15	562	30	19	20	127.5	28
16	126	8	20	20	113.0	28

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	265	448	19	20	111.0	29
1	355	442	14	20	139.5	29
2	335	407	13	20	50.0	29
3	570	401	18	21	77.5	29
4	374	385	2	20	18.5	29
5	8	380	14	20	88.0	29
6	89	302	20	14	49.0	29
7	182	231	13	20	43.5	29
8	210	227	10	20	117.5	29
9	179	222	255	155	1209.0	29
9	229	203	11	20	57.5	29
10	249	127	18	20	217.5	29
11	443	100	17	20	52.0	29
12	88	46	16	20	73.0	29
13	401	38	12	20	93.0	29
14	613	33	16	20	184.0	29
15	562	32	19	20	124.5	29
16	126	9	20	20	113.0	29

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	265	450	19	20	111.0	30
1	356	442	14	20	139.5	30
2	336	407	13	20	50.0	30
3	571	402	18	20	77.0	30
4	376	387	2	20	18.5	30
5	10	381	14	20	88.0	30
6	90	303	20	14	49.0	30
7	182	233	13	20	43.5	30
8	210	227	10	20	117.5	30
9	179	222	255	155	1215.5	30
9	229	203	13	20	58.0	30
10	250	127	18	20	217.5	30
11	443	101	17	20	52.0	30
12	89	46	16	24	80.5	30
13	403	39	12	18	86.0	30
14	562	34	19	20	124.5	30
15	613	33	16	20	184.0	30
16	126	9	20	20	113.0	30

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
