

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
2	430	399	10	20	90.5	30
3	132	386	17	21	179.5	30
4	535	318	19	21	96.0	30
5	205	243	15	20	142.5	30
6	319	227	10	20	42.0	30
7	37	211	15	21	229.0	30
8	243	205	17	21	134.0	30
9	325	196	15	20	69.0	30
10	75	105	12	21	63.5	30
11	110	92	15	21	143.0	30
12	84	47	15	21	113.0	30
13	280	23	15	21	81.0	30
14	68	22	17	21	94.0	30
15	571	20	13	21	146.0	30

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	229	442	20	17	73.5	31
1	70	434	12	21	74.0	31
2	430	401	10	20	90.5	31
3	132	388	17	21	179.5	31
4	535	319	19	21	96.0	31
5	206	243	15	20	142.5	31
6	319	227	10	20	42.0	31
7	37	211	15	21	85.5	31
8	245	206	17	21	134.0	31
9	325	196	15	20	69.0	31
10	75	106	12	21	63.5	31
11	112	92	15	21	143.0	31
12	86	49	15	21	113.0	31
13	282	23	15	21	81.0	31
14	68	22	17	21	94.0	31
15	573	20	13	21	146.0	31

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	231	442	20	17	73.5	32
1	70	434	12	21	74.0	32
2	430	402	10	20	90.5	32
3	132	388	17	21	179.5	32
4	537	321	19	21	96.0	32
5	207	243	15	20	143.5	32
6	321	227	10	18	40.0	32
7	39	213	15	21	228.0	32
8	246	206	17	21	134.0	32
9	326	197	15	21	85.0	32
10	77	106	12	21	62.5	32
11	112	93	15	21	143.0	32
12	86	51	15	21	113.0	32
13	282	24	15	21	81.0	32
14	68	24	17	21	94.0	32
15	573	20	13	21	146.0	32

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	231	442	20	17	73.5	33
1	70	435	12	21	74.0	33
2	430	402	10	20	90.5	33
3	132	388	17	21	179.5	33
4	537	321	19	21	96.0	33
5	209	243	15	20	143.5	33
6	323	228	10	16	38.0	33
7	40	213	15	21	228.0	33
8	246	206	17	21	134.0	33
9	328	197	15	21	134.0	33
10	77	106	12	21	63.5	33
11	112	93	15	21	143.0	33
12	87	52	15	21	113.0	33
13	284	25	15	21	81.0	33
14	70	24	17	21	94.0	33
15	573	20	13	21	146.0	33

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	233	442	20	17	73.5	34
1	72	437	12	21	74.0	34
2	430	403	10	20	90.5	34
3	132	389	17	21	179.5	34
4	538	321	19	21	96.0	34
5	209	244	15	20	143.5	34
6	323	230	5	3	6.0	34
6	327	229	6	15	27.0	34
7	42	213	15	21	228.0	34
8	248	206	17	21	134.0	34
9	329	197	15	21	135.0	34
10	77	106	12	21	63.5	34
11	114	93	15	21	143.0	34
12	89	54	15	21	113.0	34
13	284	25	15	21	81.0	34
14	70	24	17	21	94.0	34
15	575	21	13	21	146.0	34

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	233	444	20	17	73.5	35
1	73	438	12	21	74.0	35
2	431	403	10	20	90.5	35
3	132	391	17	21	179.5	35
4	540	321	19	21	96.0	35
5	211	245	15	20	141.0	35
6	323	229	10	15	35.0	35
7	44	213	15	21	229.0	35
8	248	208	17	21	134.0	35
9	331	198	15	21	133.0	35
10	78	108	12	21	62.5	35
11	114	93	15	21	143.0	35
12	89	55	15	21	113.0	35
13	72	26	17	21	94.5	35
14	286	25	15	21	81.0	35
15	576	21	13	21	146.0	35

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	234	444	20	17	73.5	36
1	73	439	12	21	74.0	36
2	433	403	10	20	90.5	36
3	132	391	17	21	179.0	36
4	542	321	19	21	96.0	36
5	328	248	2	4	3.0	36
5	212	245	15	20	142.5	36
6	324	231	10	12	30.0	36
6	45	215	15	21	229.0	36
7	248	208	17	21	134.0	36
8	333	198	15	21	135.0	36
9	80	110	12	21	63.5	36
10	114	95	15	21	143.0	36
11	90	56	15	21	113.0	36
12	286	26	15	21	83.0	36
13	72	26	17	21	94.5	36
14	577	23	13	21	146.0	36

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	235	444	20	17	73.5	37
1	74	440	12	21	74.0	37
2	433	405	10	20	90.5	37
3	132	391	17	21	179.0	37
4	544	321	19	21	96.0	37
5	329	248	2	6	5.0	37
5	213	247	15	20	142.5	37
6	325	233	10	9	24.0	37
6	46	216	15	21	229.0	37
7	248	208	17	21	134.0	37
8	334	198	15	21	135.0	37
9	80	110	12	21	63.5	37
10	116	95	15	21	143.0	37
11	90	56	15	21	112.0	37
12	74	28	17	21	94.5	37
13	287	27	15	21	83.0	37
14	578	25	13	21	146.0	37

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	235	444	20	17	73.5	38
1	75	440	12	21	74.0	38
2	433	406	10	20	90.5	38
3	134	393	17	21	179.0	38
4	546	322	19	21	96.0	38
5	329	248	2	6	5.0	38
5	215	247	15	20	142.5	38
6	325	233	10	9	25.0	38
6	46	218	15	21	229.0	38
7	248	209	17	21	134.0	38
8	336	199	15	21	134.5	38
9	80	110	12	21	63.5	38
10	116	95	15	21	143.0	38
11	90	56	15	21	112.0	38
12	288	29	15	21	83.0	38
13	74	28	17	21	94.5	38
14	578	26	13	21	146.0	38

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	235	446	20	17	73.5	39
1	75	440	12	21	74.0	39
2	435	406	10	20	90.5	39
